@relation 'context2_b01-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,2'

@attribute Age numeric
@attribute Sensor1 numeric
@attribute Sensor2 numeric
@attribute Sensor3 numeric
@attribute Sensor5 numeric
@attribute Sensor6 numeric
@attribute Sensor7 numeric
@attribute Sensor8 numeric
@attribute Sensor9 numeric
@attribute Sleep {nsleep,sleep}

@data
38,0.17754,8.5903,29.265,28.416,55.272,0.71061,75.384,-0.079396,nsleep
38,0.19529,11.582,29.443,28.63,1549.1,0.87654,929.08,-0.39698,nsleep
38,0.20417,16.65,29.459,28.826,1770.6,0.88375,957.52,-0.3932,nsleep
38,0.23968,17.47,29.54,29.023,1608.7,0.88375,884.56,-0.3932,nsleep
38,0.3462,18.821,29.637,29.202,1548.1,0.88014,858.09,-0.38186,nsleep
38,0.55925,20.655,29.701,29.364,1643.7,0.89457,830.01,-0.36673,nsleep
38,0.74566,22.103,29.75,29.508,1614.5,0.89096,862.82,-0.36295,nsleep
38,0.94096,20.269,29.912,29.653,1562.7,0.89818,841.27,-0.37807,nsleep
38,1.0297,20.414,30.043,29.815,1558.1,0.909,834.15,-0.36295,nsleep
38,1.0386,23.503,30.14,29.96,1482.8,0.88375,809.27,-0.36673,nsleep
38,1.0208,26.495,30.206,30.105,1525.8,0.88736,806.02,-0.36295,nsleep
38,1.0031,26.591,30.304,30.233,1494.2,0.88014,814.4,-0.37429,nsleep
38,0.97646,26.833,30.451,30.415,1479.4,0.87654,784.15,-0.37807,nsleep
38,1.0741,26.446,30.664,30.597,1309.1,0.89457,694.75,-0.25709,nsleep
38,0.91433,29.101,30.763,30.762,1580,0.89818,817.1,-0.37807,nsleep
38,0.85219,30.79,30.845,30.909,1515.8,0.89457,840.86,-0.37429,nsleep
38,0.79893,32.141,30.927,31.038,1578.4,0.88375,827.56,-0.38564,nsleep
38,0.76342,32.865,31.01,31.148,1592.3,0.89096,832.75,-0.3932,nsleep
38,0.72791,35.278,31.059,31.259,1629.8,0.89818,839.81,-0.36673,nsleep
38,0.71016,33.685,31.158,31.333,1516.2,0.91261,753.11,-0.35161,nsleep
38,0.76342,32.624,31.308,31.444,1239.3,0.89096,662.47,-0.25331,nsleep
38,0.71016,34.313,31.424,31.536,1586.7,0.89457,771.81,-0.38186,nsleep
38,0.67465,34.844,31.49,31.629,1581.5,0.89818,849.26,-0.38186,nsleep
38,0.63914,38.125,31.49,31.703,1522,0.88736,785.21,-0.37429,nsleep
38,0.62139,37.932,31.523,31.796,1571.4,0.90539,781.48,-0.37051,nsleep
38,0.62139,40.056,31.54,31.852,1548.8,0.89096,829.74,-0.38186,nsleep
38,0.62139,39.718,31.607,31.908,1452.4,0.87293,816.36,-0.3932,nsleep
38,0.61251,39.718,31.673,31.964,1478.4,0.88014,843.9,-0.39698,nsleep
38,0.59476,38.704,31.757,32.001,1497.4,0.88014,808.42,-0.39698,nsleep
38,0.59476,35.809,31.924,32.057,1502.1,0.87654,789.33,-0.40454,nsleep
38,0.59476,39.332,31.974,32.095,1572.1,0.88736,864.58,-0.40076,nsleep
38,0.58588,41.117,31.941,32.151,1440.5,0.88736,827.14,-0.37429,nsleep
38,0.577,42.614,31.941,32.188,1491.7,0.88014,824.24,-0.38942,nsleep
38,0.58588,43.675,31.924,32.225,1492,0.88014,793.92,-0.38564,nsleep
38,0.577,44.882,31.924,32.263,1561.5,0.89818,797.8,-0.37051,nsleep
38,0.56813,44.061,31.941,32.282,1561.8,0.89818,816.02,-0.37429,nsleep
38,0.56813,43.337,31.991,32.3,1536.7,0.89096,796.97,-0.37429,nsleep
38,0.56813,43.144,32.058,32.338,1531,0.89818,803.28,-0.37429,nsleep
38,0.55925,42.807,32.092,32.375,1597.8,0.88014,877.36,-0.3932,nsleep
38,0.55037,42.372,32.159,32.413,1638.6,0.89818,879.93,-0.38564,nsleep
38,0.56813,41.552,32.209,32.469,1302,0.83686,696.59,-0.43479,nsleep
38,0.577,32.865,32.479,32.507,241.91,0.86932,174.05,-0.41966,nsleep
38,0.55925,33.927,32.665,32.582,268.57,0.7575,250.02,-0.48772,nsleep
38,0.53262,32.672,32.852,32.676,174.09,0.60239,263.5,-0.66919,nsleep
38,0.51486,38.077,32.801,32.771,198.72,0.59518,307.64,-0.71834,nsleep
38,0.31957,5.8395,31.324,30.287,195.27,0.74307,145.48,-0.2949,nsleep
38,0.31957,9.2177,31.357,30.342,102.37,0.55189,83.059,-0.3932,nsleep
38,0.31957,10.231,31.341,30.36,37.522,0.84768,18.359,-0.26087,nsleep
38,0.31957,10.955,31.357,30.324,107.37,0.84407,42.284,-0.26843,nsleep
38,0.31957,11.389,31.341,30.305,78.221,0.81882,54.564,-0.25709,nsleep
