age,sensor1,sensor2,sensor3,sensor5,sensor6,sensor7,sensor8,sensor9,gender
43,0.26631,16.65,31.274,29.408,10.296,0.62587,8.7568,-0.4534,M
36,0.53262,38.174,32.631,32.018,77.876,0.83888,83.133,-0.3294,M
30,1.5712,23.117,30.563,29.068,183.11,0.74859,191.84,-0.44634,M
39,0.062139,16.553,25.257,25.078,84.021,0.75029,95.509,-0.58387,F
53,3.2578,6.9977,33.805,33.753,86.888,0.90572,114.54,-0.36998,F
53,4.7936,7.4803,31.339,30.89,46.363,0.303,79.867,-0.75466,F
27,3.5153,12.017,32.041,32.017,26.65,0.6363,27.612,-0.47016,M
53,17.949,17.422,32.968,33.486,77.393,0.7215,107.93,-0.36466,F
56,0.15979,24.806,31.618,31.493,41.553,0.90085,39.108,-0.088375,F
39,2.9028,14.285,32.252,31.659,169.9,0.78636,184.4,-0.36542,F
52,1.4292,34.072,33.711,33.759,12.443,0.588,18.902,-0.62805,F
53,13.44,11.293,33.63,33.909,76.207,0.85222,103.01,-0.38097,F
53,4.9533,22.007,31.272,30.667,99.189,0.54107,144.1,-0.65934,F
32,0.39059,26.495,33.06,32.718,177.4,0.8101,155.48,-0.39531,M
30,0.071016,19.931,26.781,25.52,85.944,0.95445,100.4,-0.27927,M
56,0.47936,28.908,32.017,32.027,70.757,0.98828,86.312,-0.14601,F
53,3.6218,1.8339,31.642,31.264,44.891,0.73586,67.761,-0.61167,F
53,4.8202,21.524,33.805,33.021,17.965,0.50063,27.646,-0.34801,F
54,0.50599,18.049,32.933,32.539,37.707,0.65624,45.583,-0.64002,F
35,2.9028,25.867,30.383,29.901,32.751,0.52489,42.895,-0.33208,F
56,0.079893,22.73,28.738,28.324,14.129,0.89982,15.443,-0.25709,F
53,4.3586,23.696,31.524,31.002,69.636,0.59518,100.32,-0.61167,F
49,3.2845,21.814,31.266,30.254,110.31,0.924,105.36,0.36965,F
30,0.28406,29.535,32.82,31.926,91.072,0.91306,55.127,-0.16923,M
26,7.7052,17.422,33.21,32.546,96.566,0.94647,79.795,-0.26513,M
52,0.94983,26.253,33.728,33.394,34.944,0.7455,68.016,-0.15432,F
54,0.28406,17.325,32.721,32.299,34.276,0.82296,54.792,-0.40513,F
53,4.3231,9.2659,33.98,33.715,49.628,0.20637,66.458,-0.67403,F
37,3.5774,39.573,32.612,32.702,178,0.81358,192.16,-0.31293,M
36,5.4948,25.385,30.147,30.082,44.58,0.44384,49.038,-0.65398,M
53,2.885,9.7968,31.811,31.245,22.592,0.77554,37.415,-0.50046,F
32,0.78117,33.058,32.621,32.177,123.64,0.9353,123.21,-0.28888,M
30,1.5091,25.481,31.01,30.701,124.49,0.77268,183.93,-0.43732,M
56,0.81668,31.514,33.022,32.033,76.474,0.71082,74.916,0.0073264,F
36,0.062139,21.62,27.244,26.134,17.133,0.45169,21.168,-0.8484,M
36,7.7496,20.897,30.014,30.36,94.439,0.8484,121.25,-0.25099,M
35,18.127,24.902,32.215,32.645,64.3,0.66281,74.897,-0.68456,F
54,1.1984,15.926,33.201,32.794,15.386,0.57981,18.052,-0.58784,F
54,0.08877,19.594,31.059,29.657,94.927,0.68525,118.22,-0.48374,F
35,2.2281,42.131,31.048,30.454,69.349,0.79631,96.627,-0.41242,F
54,0.71903,16.312,32.195,31.864,76.999,0.84541,60.317,-0.42897,F
26,1.154,23.503,32.984,31.76,156.59,0.76413,169.45,-0.13926,M
54,1.802,26.398,32.933,32.041,3.7207,0.74985,8.2448,-0.34993,F
35,13.147,35.761,30.35,29.303,56.082,0.87125,69.011,-0.22138,F
26,6.0186,22.151,33.115,32.128,233.44,0.80747,301.19,-0.18043,M
35,3.4088,13.175,33.486,32.841,71.078,0.2695,88.501,-0.40913,F
39,1.9085,17.132,32.32,31.753,147.32,0.6565,191.08,-0.051635,F
56,1.1451,26.639,32.148,31.47,73.448,0.89044,64.084,-0.025642,F
56,0.60363,27.991,31.908,31.009,59.815,0.90738,52.297,-0.24281,F
35,18.162,18.532,33.756,33.137,56.221,0.61059,71.203,-0.36778,F
27,1.2161,8.9764,31.801,31.089,39.659,0.49883,61.686,-0.53025,M
53,9.5161,24.999,32.187,31.563,12.846,0.16678,12.205,-0.90049,F
36,2.4678,24.564,32.209,32.029,1.7289,0.55917,4.0802,-0.72404,M
30,0.29294,28.811,29.665,29.393,5.8801,0.88858,3.3455,-0.40088,M
36,0.99422,35.519,32.853,31.718,168.51,0.66304,257.18,-0.47401,M
35,12.028,11.631,32.951,33.009,9.7875,0.84324,13.493,-0.6247,F
43,1.5002,25.53,33.724,32.899,225.48,0.88085,197.05,-0.065321,M
53,6.5601,36.919,33.894,33.405,136.09,0.69279,213.42,-0.55657,F
56,0.71903,23.165,31.684,30.953,57.471,0.88091,42.313,-0.34636,F
30,17.807,26.446,33.047,32.596,174.68,0.83836,185.41,-0.2551,M
36,5.9387,12.017,32.559,32.4,239.31,0.82091,184.13,-0.4949,M
52,10.679,13.078,35.046,35.481,40.901,0.525,70.259,-0.33017,F
53,13.475,35.857,34.849,34.613,204.94,0.90595,264.08,0.011282,F
39,3.6129,21.669,32.579,32.129,175.04,0.84556,193.03,-0.21635,M
