"age","sleep","sensor1","sensor2","sensor3","sensor5","sensor6","sensor7","sensor8","sensor9"
39,"nosleep",0.7,67.56,30.22,31.96,790.81,0.79,540.31,-0.51
32,"sleep",0.07,17.57,32.4,31.65,0.75,-0.01,0.66,-0.18
24,"sleep",0.12,2.36,32.32,31.62,1.11,-0.11,0.75,-0.28
36,"sleep",0.38,0.68,28.85,29.7,1.49,0.13,0.25,-0.96
38,"sleep",0.38,8.78,31.09,30.4,0.19,-0.33,0.77,0.4
31,"nosleep",0.32,25.96,31.29,30.55,35.27,0.91,43.89,-0.37
32,"nosleep",0.22,22.97,29.91,28.98,8.69,0.76,13.48,-0.42
32,"sleep",0.27,20.22,32.36,32.11,0.64,-0.23,2.08,0.64
39,"nosleep",0.18,7.05,34.15,33.4,61.54,0.68,26.29,-0.08
31,"sleep",0.88,-1.3,32.38,31.59,0,-0.36,0,0.58
39,"sleep",0.32,1.88,34.15,32.59,2.65,-0.23,5.22,0.03
37,"sleep",0.35,12.98,27.63,27.96,0.57,0.33,0.93,-0.96
31,"nosleep",0.29,17.33,31.75,30.69,13.59,0.58,21.71,-0.77
36,"nosleep",0.6,18.1,29.93,31.03,113.91,0.91,109.62,-0.33
38,"sleep",0.22,6.85,31.57,30.56,0.69,0.25,2.7,-0.64
39,"nosleep",0.12,5.69,33.45,33.04,377.02,0.96,227.51,-0.1
36,"sleep",0.62,6.13,30.94,32.02,26.04,0.03,32.36,-0.95
38,"sleep",0.3,14.38,31.89,31.52,8.49,-0.65,12.75,0.25
39,"nosleep",0.65,21.62,32.1,31.24,309.48,0.81,407.88,-0.49
24,"sleep",0.12,12.74,31.95,31.64,0.24,0.34,0.65,-0.36
34,"nosleep",0.25,12.79,30.89,29.59,24.99,0.83,33.48,-0.04
31,"nosleep",0.32,32.53,30.63,29.51,7.17,0.84,19.07,-0.47
38,"sleep",0.47,3.43,32.95,32.51,0.26,-0.26,0.17,0.36
37,"sleep",0.34,12.6,29.93,30.82,2.92,0.43,2.23,-0.65
39,"nosleep",0.35,12.21,32.82,32.4,95.35,0.58,92.16,-0.8
39,"sleep",0.2,2.46,34.69,34.21,2.93,0.6,2.26,-0.38
32,"sleep",0.21,11.34,33.7,33.19,0.02,0.2,0.05,-0.95
37,"sleep",0.73,9.22,31.54,32.71,2.38,0.04,5.74,-1
29,"nosleep",0.49,6.52,28.35,26.28,52.55,0.8,68.66,-0.47
31,"nosleep",0.27,14.48,31.91,30.58,8.72,0.49,22.18,-0.39
37,"nosleep",0.75,15.01,32.77,34.16,172.81,0.53,166.57,-0.59
34,"nosleep",0.31,11.68,31.42,30.48,18.55,0.92,19.91,-0.23
30,"nosleep",0.29,17.04,30.56,29.63,2.09,0.04,4.05,-0.95
38,"sleep",0.32,1.93,32.16,31.22,0.09,-0.01,0.7,-0.38
37,"nosleep",0.7,12.4,30,31.6,19.39,0.84,19.98,-0.55
38,"nosleep",0.59,15.54,32.24,31.33,371.06,0.88,179.32,-0.34
32,"sleep",0.06,17.95,32.66,32.24,0.97,-0.27,1.41,0.96
24,"sleep",0.07,9.36,32.27,31.6,0.93,-0.11,11.5,-0.64
37,"nosleep",0.7,11.15,31.83,33.01,193.36,0.89,221.33,-0.2
39,"nosleep",0.15,12.26,31.53,30.57,41.28,0.95,54.97,-0.19
34,"nosleep",0.12,20.61,29.44,28.23,29.96,1.13,11.62,-0.17
38,"sleep",0.2,6.76,31.76,30.84,0.07,0.34,0.07,-0.36
32,"sleep",0.23,22.39,33.09,32.86,46.09,0.65,56.4,-0.04
37,"sleep",0.56,9.02,31.17,31.58,0.07,0.23,0.9,-0.86
37,"sleep",0.24,3.76,31.89,31.19,0.07,-0.37,0.33,0.11
37,"nosleep",0.27,9.99,31.89,31.09,110.38,0.92,38.26,-0.26
32,"nosleep",0.06,20.27,32.28,31.54,3.97,0.54,5.28,-0.7
39,"sleep",0.15,5.94,32.53,31.64,4.48,0.01,2.79,-0.93
37,"nosleep",0.54,13.61,31.33,32.86,13.47,0.49,26.72,-0.61
37,"nosleep",0.63,13.51,29.93,31.73,12.25,0.15,37.88,-0.94
24,"sleep",0.08,5.89,31.92,31.34,0.13,-0.23,0.31,0.22
36,"sleep",0.53,3.19,30.28,31.49,0.12,0,0.36,-0.42
38,"nosleep",0.2,13.18,29.52,28.13,0.27,0.87,0.42,-0.43
37,"nosleep",0.43,10.81,32.15,33.65,26.54,-0.86,28.79,-0.24
32,"sleep",0.25,16.22,31.79,31.2,0.14,0.59,0.05,-0.63
34,"nosleep",0.12,24.13,31.49,30.16,2.82,0.32,3.28,0.03
31,"nosleep",0.33,18.77,31.82,31.14,49.88,0.38,74.54,-0.86
39,"nosleep",0.11,23.02,31.96,31.61,103.93,0.89,160.22,0.15
37,"sleep",0.52,5.02,29.77,30.91,0.7,-0.13,0.65,0
32,"sleep",0.24,20.46,31.68,31.08,0.74,-0.18,0.97,0.98
42,"nosleep",1.15,20.32,28.3,27.74,404.25,0.87,277.48,-0.19
37,"nosleep",0.24,8.88,32.16,30.87,0.52,0.79,0.85,-0.12
32,"sleep",0.06,14.29,33.37,33.06,0,-0.35,0,0.85
35,"nosleep",0.47,9.89,30.27,28.55,106.03,0.98,103.09,-0.35
38,"sleep",0.17,11.34,31.71,31.57,0.45,-0.14,0.43,0
32,"sleep",0.07,3.67,33.45,32,0.33,-0.34,0.37,0.87
34,"nosleep",0.43,3.23,33.12,32.18,72.44,0.85,81.39,-0.25
39,"nosleep",0.43,19.11,30.21,29.66,83.3,0.65,89.16,-0.71
38,"sleep",0.21,12.07,32.41,31.91,0.16,-0.35,0.36,0.77
38,"sleep",0.2,11.58,30.68,29.67,0.3,-0.22,0.2,-0.05
31,"sleep",0.6,5.74,30.45,29.82,1.51,0.05,2.62,-1.27
32,"sleep",0.08,11.39,33.05,32.59,0.07,-0.24,0,0.94
34,"nosleep",0.2,13.66,29.81,28.46,75.57,1.12,42.83,-0.19
38,"sleep",0.41,8.49,31.54,31.31,0.08,0.34,0.41,-0.98
35,"nosleep",0.36,15.64,32.24,30.93,5.7,0.94,9.52,-0.14
35,"nosleep",0.48,20.32,31.32,30.33,0.48,0.78,3.25,-0.54
29,"sleep",0.59,0.1,30.86,29.69,5.19,0.11,6.58,-0.59
34,"nosleep",1.4,20.99,30.12,28.86,28.02,1.06,20.46,-0.31
36,"nosleep",0.73,19.26,29.6,30.8,310.42,0.93,201.7,-0.31
24,"sleep",0.21,3.09,33.12,32.63,2.28,-0.21,1.61,-0.21
37,"nosleep",0.38,10.86,29.7,30.82,0.07,-0.77,0.61,0.75
32,"sleep",0.29,0.72,33.22,32.75,0,0.07,0.17,-0.27
32,"nosleep",0.06,14.48,32.58,31.76,7.12,0.28,12.44,-0.51
39,"sleep",0.19,1.25,33.82,33.97,6.52,-0.35,10.41,0.69
32,"nosleep",0.15,16.89,30.38,29.59,1.82,0.42,2.66,-0.84
38,"sleep",0.55,15.59,31.71,30.63,0.15,-0.13,0.28,0.14
38,"nosleep",1.22,22.83,30.52,29.62,108.61,0.83,128.64,-0.35
39,"sleep",0.36,3.76,33.63,32.22,5.12,0.07,7.42,-0.73
35,"nosleep",0.37,11.34,31.42,29.67,17.65,0.99,7.97,-0.3
38,"sleep",0.24,15.01,32.08,31.52,2.05,-0.62,3.41,0.81
34,"nosleep",1.98,31.9,30.93,29.87,237.91,0.94,140.68,-0.39
34,"nosleep",0.2,12.93,31.15,30.33,0.86,0.81,0.75,-0.42
37,"sleep",0.35,12.74,30.82,31.6,4.54,0.43,7.75,-0.71
39,"nosleep",0.24,6.37,32.6,31.57,69.82,0.86,65.4,-0.1
31,"nosleep",0.52,13.9,32.01,30.6,10.66,0.87,10.73,-0.4
34,"sleep",0.4,7.34,32.32,31.16,0.33,0.52,0.2,-0.8
31,"nosleep",3.98,18.15,33.08,32.21,16.72,0.94,28.44,-0.25
37,"sleep",0.59,27.75,25.21,27.6,0.57,0.35,3.79,0.16
36,"sleep",0.68,2.27,32.12,33.16,1.93,-0.2,0.16,-0.66
36,"nosleep",0.84,17.71,31.81,32.93,7.79,0.57,11.09,-0.64
31,"sleep",0.24,12.79,32.25,31.19,0.24,0.55,0.31,-0.18
24,"nosleep",0.19,30.02,27.69,26.83,118.98,0.88,137.06,-0.12
30,"sleep",3.32,10.28,30.26,29.3,0.02,0.14,0.02,-0.92
38,"nosleep",0.2,25.24,29.46,28.81,0.75,0.89,1.04,-0.19
32,"nosleep",0.09,14,32.44,31.46,6.31,0.43,6.18,-0.19
24,"sleep",0.12,4.44,33.17,32.7,0.14,-0.17,0.73,0.23
38,"nosleep",0.25,11.1,30.78,29.74,7.77,0.72,18.35,-0.51
24,"sleep",0.07,6.61,30.61,29.57,2.07,0.14,0.66,-0.7
24,"nosleep",0.15,32.43,27.4,26.81,43.09,0.72,77.05,-0.55
38,"nosleep",0.19,12.26,31.69,30.87,19,0.7,27.35,-0.47
38,"sleep",0.36,9.17,32.36,31.98,0,-0.07,0.47,-0.56
43,"sleep",7.3,30.84,32.12,31.48,0,0.09,0.08,0.63
38,"sleep",0.28,3.23,33.16,32.34,0.34,-0.17,0.73,-0.1
35,"nosleep",0.37,15.73,31.85,30.78,12.46,0.86,20.3,-0.37
35,"nosleep",0.23,11.78,31.97,30.67,22.1,0.86,28.22,-0.24
32,"sleep",0.1,10.67,33.7,33.21,0.19,-0.31,0.07,0.57
35,"nosleep",0.31,14.24,31.19,29.98,42.12,0.93,40.65,-0.3
39,"sleep",0.09,5.45,32.85,31.96,2.13,0.22,2.75,-0.33
32,"sleep",0.05,17.37,32.38,30.91,0.07,-0.17,0.14,-1.01
34,"nosleep",0.27,9.22,29.54,27.36,33.77,1.06,25.01,-0.2
32,"nosleep",0.16,16.22,33.12,31.87,13.96,0.47,16.09,-0.57
36,"sleep",0.7,3.67,30.89,32.06,1.35,-0.2,0.52,-0.47
39,"nosleep",0.25,6.66,32.26,30.51,5.67,0.91,10.62,-0.23
38,"sleep",0.32,18.15,29.12,28.26,0.09,-0.64,0.69,0.74
37,"nosleep",0.51,15.88,31.04,30.05,113.17,0.77,126.85,-0.11
39,"sleep",0.18,1.11,34.41,33.97,0.89,-0.26,2.43,0.04
37,"sleep",0.68,8.45,29.1,27.74,0.17,0.23,1.06,-0.62
39,"nosleep",0.2,49.42,30.03,30.98,855.54,0.85,414.77,-0.41
38,"sleep",0.21,3.67,31.77,30.32,0.22,0.21,0.49,-0.05
35,"nosleep",0.43,18.87,31.02,30.13,16.74,0.77,21.11,-0.6
24,"sleep",0.07,13.61,29.82,30.15,5.21,0.09,5.82,-0.64
39,"sleep",0.37,2.08,34.39,33.79,7.8,0.01,8.07,-1.03
36,"sleep",0.53,3.86,30.97,32.86,0.15,-0.07,0.72,-0.87
39,"sleep",0.13,2.41,34.6,34.08,2.35,-0.12,6.97,-0.3
39,"nosleep",0.63,5.89,33.11,33.57,23.79,0.02,40.98,-0.32
31,"nosleep",0.45,21.52,30.05,29.18,24.76,0.72,37.44,-0.81
39,"sleep",0.16,0.82,34.97,34.62,3.29,-0.2,6.66,0.13
35,"nosleep",0.43,18.87,31.02,29.79,15.09,0.93,9.26,-0.33
34,"nosleep",0.28,14.04,31.92,30.91,2.67,1.12,3.71,-0.16
39,"sleep",0.16,5.45,34.25,33.89,2.83,0.06,4.44,-0.88
34,"nosleep",0.44,15.97,32.59,31.66,17.05,0.96,17.94,-0.33
30,"sleep",0.74,13.8,29.46,28.98,0.3,0.09,0.32,0.95
31,"nosleep",1.15,16.07,31.86,30.31,0.56,0.9,1.54,-0.1
35,"sleep",1.41,3.57,32.21,30.59,0,0.01,0.05,0.3
31,"nosleep",0.42,24.76,31.97,30.87,5.69,0.52,22,0.1
35,"nosleep",0.49,13.47,32.6,31.82,25.91,0.73,26.56,-0.54
32,"nosleep",0.12,20.56,30.88,30.16,2.88,0.74,6.28,-0.61
36,"nosleep",0.39,12.36,30,31.78,11.05,0.55,13.29,-0.73
36,"sleep",0.47,3.96,29.68,30.91,0.11,0,0.21,-0.42
32,"nosleep",0.1,18.44,32.29,31.51,4.06,0.5,10.37,-0.88
29,"nosleep",0.05,6.95,24.79,23.14,41.71,0.79,59.78,-0.56
31,"nosleep",0.26,24.37,31.73,30.88,69.5,0.81,37.89,-0.41
36,"sleep",0.48,4.15,30.57,31.12,1.64,0.03,0.53,-0.74
29,"nosleep",0.44,1.16,30.29,28.22,35.74,0.84,38.73,-0.26
29,"sleep",0.58,6.27,29.87,27.97,0.09,0.8,0.04,-0.61
39,"nosleep",1.65,10.18,34.05,34.18,1143.4,0.7,474.28,-0.6
37,"nosleep",0.42,13.9,31.38,33.1,17.66,0.75,24.69,-0.54
39,"nosleep",0.52,28.38,34.15,34.06,350.23,0.81,307.3,-0.53
32,"sleep",0.28,6.76,33.47,32.67,2.52,0.06,1.1,-0.54
32,"nosleep",0.05,19.4,31.82,31.03,28.85,0.94,44.87,-0.24
32,"sleep",0.07,8.88,32.55,32.05,0.02,-0.19,0,0.88
32,"sleep",0.18,12.89,31.88,31.75,1.53,-0.28,1.38,0.86
32,"sleep",0.07,28.96,32.63,31.23,0.76,0.44,0.8,0.07
32,"sleep",0.2,17.71,31.97,31.31,1.99,-0.58,3.02,-0.72
32,"nosleep",0.16,19.3,28.79,28.15,3.62,0.38,6.83,-0.8
32,"sleep",0.57,6.71,32.95,32.46,1.03,-0.16,1.1,-0.64
34,"nosleep",3.41,30.11,30.53,29.89,302.39,0.97,174.61,-0.27
39,"nosleep",0.44,60.62,29.77,31.19,729.26,0.79,405.15,-0.53
37,"nosleep",0.67,13.08,30.11,31.89,132.98,0.62,124.77,-0.59
37,"nosleep",0.54,12.21,30.86,32.23,41.88,0.98,48.15,-0.22
38,"sleep",0.36,4.87,31.67,31.09,0.52,-0.22,0.4,0.03
39,"sleep",0.46,9.07,32.31,31,5.88,-0.36,12.08,-0.91
37,"sleep",0.25,25.63,26.27,27.82,1.19,0.15,2.52,-0.76
35,"nosleep",0.49,10.52,31.54,30.48,62.54,0.94,67.75,-0.51
31,"sleep",1.21,-0.63,32.76,32.14,0,-0.37,0,0.58
38,"nosleep",0.39,11.73,32.14,31.54,177.4,0.82,150.78,-0.41
39,"nosleep",0.46,20.37,33.31,32.68,124.54,0.3,124.97,0.17
32,"nosleep",0.2,17.76,32.68,31.57,1.6,0.65,1.38,-0.53
38,"sleep",0.28,15.97,31.41,30.98,3.98,-0.45,5.34,0.83
39,"nosleep",0.32,58.68,28.81,30.06,583.1,0.84,432.95,-0.52
38,"sleep",0.34,18.53,31.67,32.19,0.04,-0.31,0.34,0.73
34,"nosleep",0.33,-2.22,33.03,32.16,8.71,0.89,5,-0.05
31,"nosleep",0.51,19.93,30.63,29.07,10.1,0.97,10.97,-0.18
24,"sleep",0.07,13.9,31.45,31.04,2.84,0.14,16.51,-0.4
32,"sleep",0.09,10.47,33.58,32.67,0.07,-0.19,0,-0.61
39,"sleep",0.81,10.28,33.91,34.29,4.81,-0.42,3.83,0.72
32,"nosleep",0.19,12.55,30.77,30.22,169.48,0.92,149.33,-0.24
32,"sleep",0.06,12.02,32.24,31.22,0,-0.27,0.02,-0.49
42,"nosleep",3.21,25.29,29.37,28.76,73.13,1,37.06,-0.26
31,"nosleep",0.57,29.44,31.93,30.59,9.46,0.93,13.44,-0.32
39,"sleep",0.17,6.52,34.05,33.36,3.29,0.05,7.14,-0.39
30,"sleep",0.41,5.55,30.37,28.7,0.05,-0.01,0.09,-0.31
34,"nosleep",2.82,20.46,32.07,29.27,461.81,0.89,289.79,-0.36
39,"nosleep",0.49,7.72,33.02,32.87,76.7,0.79,71.85,-0.05
34,"nosleep",0.53,14.09,30.56,29.23,18.94,1.03,13.34,-0.38
24,"sleep",0.41,11.05,32.64,32.15,0.07,-0.09,0.22,-0.13
37,"sleep",0.28,31.66,27.71,29.73,3.13,0.43,0.53,-0.42
37,"nosleep",0.35,7.14,29.7,30.91,6.96,0.59,14.78,-0.51
29,"nosleep",0.36,5.84,27.38,25.63,76.05,0.37,19.41,-0.14
32,"sleep",0.33,14.19,33.58,32.61,0.02,0.59,0.15,-0.36
32,"sleep",0.29,20.51,32.61,31.42,0.91,0.13,1.35,-0.91
37,"sleep",0.3,3.38,33.13,32.53,0.14,-0.03,1.09,0.09
24,"nosleep",0.17,7.48,32.15,31.64,96.13,0.46,85.74,-0.73
30,"nosleep",0.54,15.93,30.29,29.43,61.83,0.76,70.36,-0.58
38,"nosleep",0.22,16.94,31.71,31.56,203.38,-0.32,86.81,-0.44
24,"sleep",0.12,11.92,30.23,29.67,0.32,-0.11,0.24,-0.85
