"age","tv","sensor1","sensor2","sensor3","sensor5","sensor6","sensor7","sensor8","sensor9"
24,"wtv",0.07,12.07,31.5,31.02,6.92,0.68,5.63,-0.58
39,"ntv",0.09,13.03,31.65,30.82,57.21,0.9,23.78,-0.21
35,"ntv",0.43,8.88,32.84,31.48,1.06,0.66,1.54,-0.65
34,"wtv",0.35,13.27,31.82,30.76,9.62,0.94,12.18,-0.46
39,"ntv",0.38,15.54,32.13,31.17,194.07,0.32,153.21,-0.27
38,"wtv",0.25,13.71,30.71,29.44,2.83,0.7,6.38,0.47
31,"ntv",2.2,20.85,31.39,30.59,4.09,0.83,5.05,-0.57
39,"ntv",0.16,5.31,33.5,33.06,2.08,-0.31,8.58,0.07
38,"wtv",0.29,9.85,32.24,31.57,1.24,-0.32,1.19,-0.05
39,"ntv",0.12,1.79,34.65,33.79,1.27,-0.01,6.31,-0.3
35,"wtv",0.28,10.04,30.86,29.34,1.69,1.1,2.33,-0.1
31,"ntv",0.48,4.73,32.87,31.95,7.07,-0.58,11.69,0.39
34,"ntv",0.88,14.33,31.29,29.96,25.19,0.71,32.55,-0.46
35,"ntv",0.28,19.06,30.63,29.28,26.88,1.1,18.52,-0.13
32,"ntv",0.25,11.82,31.93,31.02,0.63,-0.08,1.3,-0.94
39,"ntv",0.18,-0.19,34.83,34.62,35.6,0.25,34.78,-0.54
38,"wtv",0.31,6.61,31.44,30.11,7,0.52,7.27,-0.29
34,"wtv",0.19,24.95,28.97,27.52,3.47,1.16,6.91,-0.05
37,"ntv",0.99,1.16,34.24,36.24,77.21,0.9,58.36,-0.32
30,"ntv",0.31,13.8,30.04,29.22,46.41,0.51,66.44,-0.77
32,"ntv",0.27,20.37,32.42,31.98,1.39,0.02,1.52,0.82
32,"ntv",0.2,21.09,32.87,32.19,4.24,-0.09,8.29,0.3
32,"ntv",0.15,2.56,33.01,32.36,0.37,-0.33,0.42,0.87
31,"wtv",0.31,22.25,31.82,30.87,14.94,0.81,23.3,-0.31
31,"ntv",0.12,21.19,28.56,27.62,2.43,0.47,2.72,-0.59
36,"ntv",0.5,4.78,28.95,29.31,0.46,0.01,0.37,0.14
38,"wtv",0.43,9.51,32.11,31.5,0.68,0.18,0.4,-0.75
39,"ntv",0.32,2.99,34.39,34.39,1.21,-0.31,7.57,0.19
37,"wtv",0.39,9.85,29.32,31.05,3.09,0.01,3.22,-1.05
39,"ntv",0.54,7.34,33.16,32.79,1.32,0.05,7.39,-0.24
36,"ntv",0.54,2.51,30.51,31.34,0.85,0.01,6.99,-0.7
30,"ntv",1.07,12.64,30.59,30.05,0,0.05,0.36,-0.58
31,"ntv",2.03,22.88,30.76,29.91,17.02,0.79,30.82,-0.47
34,"ntv",0.98,35.33,30.48,28.52,22.39,0.82,31.13,-0.42
39,"ntv",0.16,8.69,33.09,32.44,5.21,0.18,7.21,-0.15
37,"ntv",0.36,7.34,32.95,32.45,1.44,0.21,1.98,-0.56
37,"ntv",0.32,12.31,30.11,31.42,21,0.75,29.23,-0.49
37,"ntv",0.25,15.64,31.36,30.42,0.27,-0.13,0.43,0.06
24,"ntv",0.05,6.71,30.33,29.3,0.47,-0.23,0.24,-0.75
38,"wtv",0.31,10.28,31.52,30.29,4.99,0.81,5.39,0.16
34,"ntv",0.24,15.01,30.17,28.32,78.87,0.9,26.7,-0.12
34,"wtv",0.2,12.11,31.08,29.87,4.47,0.98,9.96,-0.19
31,"wtv",0.44,26.16,30.73,30.23,13.72,0.54,34.43,-0.84
36,"ntv",0.52,13.22,31.17,32.39,26.8,0.66,28.5,-0.14
34,"wtv",0.23,15.88,31.82,30.84,6.63,0.54,9.66,-0.63
35,"wtv",0.31,10.14,30.91,29.52,25.16,1.03,19.95,-0.33
34,"wtv",0.21,13.8,31.65,30.56,57.03,0.95,53.81,-0.43
32,"ntv",0.17,15.68,31.63,30.79,8.33,0.2,9.21,-0.63
36,"wtv",0.72,16.65,29.36,31.23,8.44,-0.63,8.8,0.77
